id,name,email,password,userType,department,totalProctoringInDepartment,totalNonDepartmentProctoring,totalWorkload,isPHD,approvedAbsence,waitingAbsenceRequest,isPartTime
ta022,Tina Walker,tina.walker@bilkent.edu.tr,1234,ta,IE,7,1,5,False,True,False,False
ta023,Mary Martin,mary.martin@bilkent.edu.tr,1234,ta,EE,8,1,13,False,False,False,False
ta024,Alex Brewer,alex.brewer@bilkent.edu.tr,1234,ta,ME,1,5,13,True,True,True,False
ta025,Jeffrey Giles,jeffrey.giles@bilkent.edu.tr,1234,ta,IE,3,3,3,False,False,False,True
ta026,Joseph Reed,joseph.reed@bilkent.edu.tr,1234,ta,ME,4,2,12,True,False,True,True
ta027,Krista Kelley,krista.kelley@bilkent.edu.tr,1234,ta,IE,7,0,13,False,False,False,True
ta028,Robert Wiley,robert.wiley@bilkent.edu.tr,1234,ta,ME,6,0,10,False,True,False,True
ta029,Ashley Pena,ashley.pena@bilkent.edu.tr,1234,ta,IE,9,3,3,False,True,True,False
ta030,Nathaniel Key,nathaniel.key@bilkent.edu.tr,1234,ta,CS,7,5,5,True,True,False,True
ta031,Frank Burns,frank.burns@bilkent.edu.tr,1234,ta,CS,8,0,4,True,True,True,False
ta032,Michelle Shaw,michelle.shaw@bilkent.edu.tr,1234,ta,IE,0,1,14,False,True,False,False
ta033,Morgan Calderon,morgan.calderon@bilkent.edu.tr,1234,ta,ME,3,5,19,True,False,True,True
ta034,Melvin Peterson,melvin.peterson@bilkent.edu.tr,1234,ta,EE,5,3,9,True,False,False,False
ta035,Robert Lewandowski,robert.lewandowski@bilkent.edu.tr,1234,ta,ME,3,0,16,True,True,False,True
ta036,Willie Morrow,willie.morrow@bilkent.edu.tr,1234,ta,EE,0,2,7,True,False,False,True
ta037,Michael Burke,michael.burke@bilkent.edu.tr,1234,ta,ME,0,1,19,True,False,False,False
ta038,Bradley Murphy,bradley.murphy@bilkent.edu.tr,1234,ta,CS,5,1,5,True,True,False,False
ta039,Matthew Lam,matthew.lam@bilkent.edu.tr,1234,ta,ME,1,1,8,False,True,False,False
ta040,Christopher Cole,christopher.cole@bilkent.edu.tr,1234,ta,EE,6,4,10,False,False,False,True
ta041,Michael Jordan,michael.jordan@bilkent.edu.tr,1234,ta,EE,9,0,2,True,False,True,True
ta042,Kara Lucas,kara.lucas@bilkent.edu.tr,1234,ta,ME,3,2,0,False,False,False,True
ta043,Jason Barrett,jason.barrett@bilkent.edu.tr,1234,ta,IE,9,3,12,False,False,False,False
ta044,Amanda Graves,amanda.graves@bilkent.edu.tr,1234,ta,ME,1,2,7,False,True,True,True
ta045,LeBron James,lebron.james@bilkent.edu.tr,1234,ta,IE,1,4,2,True,False,True,False
ta046,Mrs. Rachel Tran,mrs.rachel.tran@bilkent.edu.tr,1234,ta,CS,1,2,16,True,True,True,False
ta047,Lawrence Cabrera,lawrence.cabrera@bilkent.edu.tr,1234,ta,IE,10,0,6,False,True,True,True
ta048,Paul Neal,paul.neal@bilkent.edu.tr,1234,ta,ME,7,3,15,True,False,True,False
ta049,Sara Shepard,sara.shepard@bilkent.edu.tr,1234,ta,CS,10,1,7,True,False,False,False
ta050,Barbara Hendrix,barbara.hendrix@bilkent.edu.tr,1234,ta,ME,9,2,5,True,True,False,False
ta051,Yunus Emre Erkan,emre.erkan@ug.bilkent.edu.tr,1234,ta,CS,9,2,5,True,True,False,False
